type_acces,distance_rn,batissable,distance_jirama,type_papier,commune,prix_m2
acces moto,6025.267927331479,1,1153.6392931920252,titre et borne,Ilafy,263740.54
acces voiture,10628.512517647658,1,752.7068286379989,titre et borne,Alasora,291168.73
acces voiture,7851.271514558151,1,1106.832723825826,fifanolorana,Alasora,186580.26
acces voiture,3269.2890330127907,1,878.0241308955649,titre et borne,Tanjombato,334630.08
sans acces,6475.757514519517,1,1765.3618534356674,titre et borne,Alasora,249092.43
sans acces,1039.3003789380737,1,371.2084315936404,cadastre,Ilafy,182614.11
acces voiture,10494.376297563062,1,64.98636284622239,titre et borne,Alasora,321880.68
acces voiture,8538.32036216386,1,468.9642984826373,titre et borne,Ilafy,330608.06
acces voiture,3592.4730436858854,1,1406.3930615300349,cadastre,Ambohidratrimo,211863.54
sans acces,139.40358727263265,1,117.30671506090108,titre et borne,Tanjombato,291881.09
acces voiture,9061.617122496238,1,722.3124743619862,titre et borne,Analakely,317077.82
acces voiture,4656.380464242146,1,1310.8628836247713,titre et borne,Alasora,348563.83
acces moto,8713.448935920385,1,2994.3996139462324,titre et borne,Ilafy,209160.33
sans acces,216.7170236168986,1,995.1432707680854,titre et borne,Ivato,283628.5
sans acces,3201.8749311386814,0,1670.7926195613136,titre et borne,Analakely,155990.03
acces moto,5015.731099154549,1,1065.463486838052,fifanolorana,Ambohidratrimo,113626.08
acces voiture,5140.9417812942265,1,920.888277447086,cadastre,Ilafy,239992.38
acces moto,3649.803585562269,1,1735.2611863902148,cadastre,Tanjombato,175452.44
acces moto,6868.549797042497,1,767.7803646490789,titre et borne,Tanjombato,294093.46
acces voiture,1797.138711852217,1,1213.9138512575223,fifanolorana,Ambohidratrimo,202569.24
sans acces,4572.86154493612,1,1257.358244956811,titre et borne,Ambohidratrimo,265001.37
acces moto,5360.886895135696,1,465.52763708556097,titre et borne,Tanjombato,293492.43
acces moto,6543.316502176247,1,1793.6338796292182,cadastre,Alasora,182762.6
acces moto,7134.844634266669,0,860.032194643673,titre et borne,Alasora,195692.96
acces voiture,1626.0737244863922,1,395.4038724057242,titre et borne,Ilafy,386996.48
sans acces,397.65748779313344,1,1429.2078748563229,cadastre,Ivato,146415.27
acces voiture,8833.030465695527,1,281.22561456717017,fifanolorana,Ilafy,184726.96
acces voiture,5996.942035938775,1,1022.5449258953026,titre et borne,Ivato,333843.3
sans acces,2754.540390330339,1,992.7048026846372,cadastre,Ambohidratrimo,177249.68
acces voiture,9653.455926567569,1,1868.7164526652623,fifanolorana,Analakely,185531.07
sans acces,5347.023902878576,1,1379.758586303962,titre et borne,Ilafy,239473.61
sans acces,8537.891552191479,1,979.9784330038848,titre et borne,Ilafy,208138.09
acces voiture,5202.555444230326,1,1654.2130393602297,titre et borne,Ivato,343851.55
acces voiture,11182.243774645962,1,2112.1660392138506,titre et borne,Ambohidratrimo,277997.97
acces voiture,10266.022527329613,1,1446.2482450814898,titre et borne,Ambohidratrimo,338599.55
acces moto,4253.107554562779,1,1008.2820958747044,fifanolorana,Ivato,131554.09
sans acces,7914.712852863066,1,49.46898588012755,cadastre,Ambohidratrimo,139473.19
acces moto,9105.894672597044,1,755.8202365162658,titre et borne,Alasora,253385.6
acces moto,7058.154379995318,1,850.4229576116431,fifanolorana,Analakely,123825.75
acces voiture,276.21845926934293,0,1423.7542034853846,titre et borne,Analakely,269323.0
acces moto,1450.224462002675,1,943.600977552727,cadastre,Ilafy,216153.76
acces voiture,1117.696533280302,1,1389.2013150609614,titre et borne,Alasora,374886.35
acces voiture,7152.626767387887,1,580.3732530830971,titre et borne,Tanjombato,357451.97
acces voiture,9507.071156288084,1,248.53168494499653,cadastre,Ivato,228417.47
sans acces,5222.284341259326,1,884.7299554227077,cadastre,Tanjombato,156737.61
acces voiture,9885.846636713875,0,32.24420572711392,titre et borne,Alasora,225904.41
acces voiture,859.6956253553262,1,1479.9429839969637,titre et borne,Analakely,366203.56
acces voiture,110.14731806546388,1,2224.600665874958,titre et borne,Ivato,353131.03
acces voiture,4833.356903310144,1,1975.0094813578532,titre et borne,Ambohidratrimo,338415.96
acces voiture,6152.196346817922,1,829.2457032558336,titre et borne,Alasora,342606.8
acces voiture,4901.9157557177205,1,2192.580909479961,titre et borne,Ivato,335450.11
sans acces,1202.32630011963,1,1118.9339657616893,cadastre,Alasora,172034.54
sans acces,4732.639881461635,0,730.3312231055686,titre et borne,Alasora,160555.88
sans acces,1086.5914984854403,0,509.2778691672482,titre et borne,Ambohidratrimo,198010.45
acces moto,7009.017646490115,1,758.0242508094973,titre et borne,Ilafy,295862.54
acces moto,6099.794738290545,1,689.4585451670171,fifanolorana,Ivato,111454.33
acces moto,2180.360641017934,1,1136.3329779003902,cadastre,Ambohidratrimo,186026.77
acces moto,1822.3594343331447,1,1002.4368161227316,titre et borne,Ambohidratrimo,284483.15
acces moto,4811.962708180485,1,1349.55053579708,cadastre,Ilafy,175324.21
acces voiture,7865.426961503715,1,1952.517019829073,titre et borne,Tanjombato,336644.47
sans acces,2042.8218609933688,1,1759.643308353059,cadastre,Ivato,173903.26
acces voiture,6512.139546553533,1,187.9183747599227,fifanolorana,Ilafy,197152.74
sans acces,3409.2271448826777,1,1043.1369079215638,cadastre,Analakely,147658.96
acces voiture,2621.381503212968,1,1747.4559289914191,fifanolorana,Ivato,211462.39
acces voiture,4678.908920136327,1,93.50295873233677,cadastre,Ilafy,220210.9
sans acces,1894.2730327418776,1,820.1876784858532,titre et borne,Alasora,246499.08
sans acces,3339.052083958454,0,63.90957915251238,fifanolorana,Ivato,2158.81
acces voiture,1406.3663222334544,1,441.5843500640158,titre et borne,Ivato,352566.83
acces voiture,10894.175398749168,1,1433.1701825638304,cadastre,Ambohidratrimo,199692.16
acces voiture,5105.790655915186,1,1607.3241282421177,titre et borne,Alasora,360563.03
acces voiture,2900.823476022243,1,538.7916794186244,titre et borne,Analakely,318692.04
sans acces,5641.939732202666,1,1072.833833715928,titre et borne,Tanjombato,234811.42
acces moto,4663.015850927511,1,563.0044413980138,titre et borne,Ilafy,300348.37
sans acces,4337.091201400332,1,1313.4432043220372,titre et borne,Ambohidratrimo,251341.07
acces voiture,6842.500100130275,1,183.12925501930292,cadastre,Ilafy,265882.28
acces voiture,7272.523130141915,1,1146.6879358233246,titre et borne,Analakely,334586.28
acces moto,3408.496557168418,1,987.7521206616036,titre et borne,Analakely,298694.17
sans acces,3272.54527806596,1,1463.4331996808708,cadastre,Ivato,121425.34
acces moto,4174.844908545068,1,1095.6642947313226,titre et borne,Analakely,273345.1
acces moto,1905.7634942067543,1,221.54484729475564,cadastre,Ilafy,181515.16
acces voiture,454.4268134043432,1,1957.257201331593,cadastre,Alasora,266744.42
acces voiture,9100.622802333575,1,873.176341578424,fifanolorana,Alasora,180995.48
acces voiture,9934.903140503851,1,978.1563683920546,cadastre,Ivato,225246.99
acces moto,4252.891881330865,0,253.38563274144315,titre et borne,Tanjombato,202980.18
sans acces,6729.670889167299,1,645.3741990467918,cadastre,Ilafy,125303.66
acces voiture,5933.7504636306085,1,292.15782877847926,titre et borne,Ilafy,350551.37
acces voiture,14236.642425365711,1,861.6431520612616,titre et borne,Analakely,290159.57
acces voiture,8358.72473430373,1,2369.366784113875,cadastre,Ilafy,199206.64
acces voiture,4616.2472255577,1,97.52091434508498,titre et borne,Ambohidratrimo,348317.71
acces moto,2133.378678198723,1,290.849118301393,cadastre,Tanjombato,196513.48
acces voiture,180.66103922728237,1,2176.936261994887,fifanolorana,Analakely,194326.49
acces moto,5610.390907601669,1,832.5410582785071,fifanolorana,Ambohidratrimo,115236.12
sans acces,2730.94776414709,1,464.7418090720668,fifanolorana,Ivato,118428.19
sans acces,733.2388712069778,1,1831.9237499168607,titre et borne,Alasora,281355.31
sans acces,3060.28134727242,1,515.5075682105087,titre et borne,Ivato,258958.45
acces voiture,1755.3559891568152,1,2460.807770837549,cadastre,Alasora,249951.65
acces moto,10061.424905217697,1,1542.3406970714152,titre et borne,Ivato,262315.14
acces voiture,7644.919270848351,0,609.6708734834378,cadastre,Ilafy,161177.18
